Shift,Material,Department,Machine,Process Type,Outside Process,Outside Process Type,Hardware,Hardware Type,Deburr,Total Parts,Defect Count,Defect Rate,Thread,Defect Type,Possible Cause,Production Cost
First 6:00AM-2:30PM,304 Stainless Steel,Lathe,Miyano_BND,High_Precision,Yes,Nickel_Plating,Yes,Hinge,Part_Deburred_On_Machine,690,22,3.21,Yes,Scratches,Careless_Deburring,721
Second 1:30PM to 9:30PM,7075 Aluminum,Lathe,Big_Wia,Secondary_Operation,No,None,Yes,Screw,Manually Deburred,1256,37,2.95,No,Incorrect_Engraving,Operator_Mistake,638
Second 1:30PM to 9:30PM,Steel,Lathe,Samsung_SL15E,Secondary_Operation,No,None,No,None,Part_Deburred_On_Machine,746,3,0.41,No,Burrs_In_Part,Tool_On_Machine_Broke,124
First 6:00AM-2:30PM,6061 Aluminum,Lathe,Big_Wia,Surface_Finish_Critical,Yes,Zinc_Plating,No,None,Part_Deburred_On_Machine,131,1,0.66,Yes,Out_Of_Tolerance,Loaded_Part_On_Wrong_Size,398
First 6:00AM-2:30PM,430 Stainless Steel,Mill,YCM_2,Standard,Yes,Passivation,No,None,Part_Deburred_On_Machine,2521,62,2.47,Yes,Scratches,Careless_Deburring,1191
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Small_Wia,Surface_Finish_Critical,No,None,No,None,Part_Deburred_On_Machine,654,24,3.74,Yes,Incorrect_Hole_Size,Incorrect_Tool_Used,397
Second 1:30PM to 9:30PM,6063 Aluminum,Mill,YCM_2,High_Precision,No,None,No,None,Manually Deburred,2006,84,4.17,Yes,Dent,Machine_Broke_Down,1199
Second 1:30PM to 9:30PM,Steel,Lathe,Miyano_BND,High_Precision,Yes,Heat_Treatment,Yes,Bolts,Manually Deburred,2134,6,0.26,Yes,Incorrect_Hole_Size,Programming_Error,535
Second 1:30PM to 9:30PM,6063 Aluminum,Mill,Matsuura_MAM72,Surface_Finish_Critical,Yes,Clear_Chromate,Yes,Hinge,Part_Deburred_On_Machine,760,15,1.92,No,Damage_To_Surface,Programming_Error,630
First 6:00AM-2:30PM,430 Stainless Steel,Lathe,Miyano_BND,Tight_Tolerance,No,None,Yes,Bolts,Manually Deburred,2122,5,0.23,No,Incorrect_Hole_Size,Programming_Error,222
Second 1:30PM to 9:30PM,Steel,Lathe,Big_Wia,Secondary_Operation,Yes,Electroless_Nickel_Plating,No,None,Manually Deburred,1712,27,1.6,Yes,Scratches,Careless_Deburring,758
First 6:00AM-2:30PM,7075 Aluminum,Lathe,Samsung_SL15E,Surface_Finish_Critical,No,None,Yes,Bolts,Part_Deburred_On_Machine,86,0,0.2,Yes,None,None,135
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Big_Wia,Tight_Tolerance,Yes,Electroless_Nickel_Plating,Yes,Bolts,Manually Deburred,1483,13,0.88,Yes,Missing_Feature,Incorrect_Print,626
First 6:00AM-2:30PM,6061 Aluminum,Mill,YCM_3,Tight_Tolerance,No,None,Yes,Dowel_Pins,Manually Deburred,333,9,2.59,Yes,Missing_Feature,Damaged_When_Shipped_To_Customer,274
First 6:00AM-2:30PM,7075 Aluminum,Mill,Matsuura_MAM72,Tight_Tolerance,No,None,Yes,Dowel_Pins,Manually Deburred,2941,135,4.58,Yes,Scratches,Damaged_When_Shipped_To_Customer,1912
First 6:00AM-2:30PM,6061 Aluminum,Mill,NFX400A,Standard,No,None,Yes,Bolts,Manually Deburred,406,6,1.6,No,Missing_Feature,Incorrect_Print,235
First 6:00AM-2:30PM,6063 Aluminum,Lathe,Miyano_BND,Standard,No,None,Yes,Fasteners,Manually Deburred,188,5,2.9,No,Out_Of_Tolerance,Measurement_Error,222
First 6:00AM-2:30PM,7075 Aluminum,Lathe,Samsung_SL15E,Secondary_Operation,No,None,Yes,Bolts,Manually Deburred,2101,67,3.18,Yes,Out_Of_Tolerance,Operator_Mistake,1028
First 6:00AM-2:30PM,303 Stainless Steel,Lathe,Miyano_BND,High_Precision,No,None,No,None,Part_Deburred_On_Machine,21,0,1.13,Yes,None,None,85
First 6:00AM-2:30PM,430 Stainless Steel,Mill,YCM_3,Surface_Finish_Critical,Yes,Clear_Hard_Anodize,No,None,Part_Deburred_On_Machine,627,22,3.5,Yes,Missing_Feature,Operator_Mistake,671
Second 1:30PM to 9:30PM,430 Stainless Steel,Lathe,Miyano_BND,Secondary_Operation,No,None,Yes,Bolts,Manually Deburred,2146,21,0.96,No,Burrs_In_Part,Careless_Deburring,430
First 6:00AM-2:30PM,430 Stainless Steel,Lathe,Miyano_BND,Tight_Tolerance,Yes,Zinc_Plating,Yes,Bolts,Part_Deburred_On_Machine,268,13,4.76,No,Incorrect_Engraving,Measurement_Error,604
